type,timestamp_ms,dist_m,anchor_addr,anchor_x,anchor_y,anchor_z,quality,rssi_dbm,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,temp_c,pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,confidence,pos_valid,imu_enable
IMU,4910,,,,,,,,-0.0157,-0.0648,9.7509,8.7179,-8.7184,-8.7192,0.00,,,,,,,,,
IMU,4911,,,,,,,,-0.0157,-0.0648,9.7509,8.7179,-8.7184,-8.7192,0.00,,,,,,,,,
IMU,4912,,,,,,,,-0.0157,-0.0648,9.7509,8.7179,-8.7184,-8.7192,0.00,,,,,,,,,
IMU,4914,,,,,,,,-0.0157,-0.0648,9.7509,8.7179,-8.7184,-8.7192,0.00,,,,,,,,,
IMU,4915,,,,,,,,-0.0157,-0.0648,9.7509,8.7179,-8.7184,-8.7192,0.00,,,,,,,,,
IMU,4916,,,,,,,,-0.0157,-0.0617,9.7492,8.7179,-8.7184,-8.7189,0.00,,,,,,,,,
IMU,4917,,,,,,,,-0.0162,-0.0608,9.7500,8.7181,-8.7181,-8.7187,0.00,,,,,,,,,
IMU,4918,,,,,,,,-0.0162,-0.0608,9.7500,8.7181,-8.7181,-8.7187,0.00,,,,,,,,,
IMU,4919,,,,,,,,-0.0187,-0.0623,9.7518,-0.0008,-0.0011,-0.0011,0.00,,,,,,,,,
IMU,4921,,,,,,,,-0.0172,-0.0620,9.7492,-0.0003,-0.0013,-0.0013,0.00,,,,,,,,,
IMU,4922,,,,,,,,-0.0172,-0.0620,9.7492,-0.0003,-0.0013,-0.0013,0.00,,,,,,,,,
IMU,4923,,,,,,,,-0.0172,-0.0620,9.7492,-0.0003,-0.0013,-0.0013,0.00,,,,,,,,,
IMU,4924,,,,,,,,-0.0172,-0.0620,9.7492,-0.0003,-0.0013,-0.0013,0.00,,,,,,,,,
IMU,4925,,,,,,,,-0.0172,-0.0620,9.7492,-0.0003,-0.0013,-0.0013,0.00,,,,,,,,,
IMU,4926,,,,,,,,-0.0147,-0.0617,9.7489,-0.0003,-0.0013,-0.0019,0.00,,,,,,,,,
IMU,4928,,,,,,,,-0.0168,-0.0603,9.7479,-0.0003,-0.0013,-0.0021,0.00,,,,,,,,,
IMU,4929,,,,,,,,-0.0163,-0.0623,9.7470,0.0005,-0.0011,-0.0019,0.00,,,,,,,,,
IMU,4930,,,,,,,,-0.0163,-0.0623,9.7470,0.0005,-0.0011,-0.0019,0.00,,,,,,,,,
IMU,4931,,,,,,,,-0.0168,-0.0638,9.7474,0.0003,-0.0011,-0.0016,0.00,,,,,,,,,
IMU,4932,,,,,,,,-0.0168,-0.0638,9.7474,0.0003,-0.0011,-0.0016,0.00,,,,,,,,,
IMU,4933,,,,,,,,-0.0168,-0.0638,9.7474,0.0003,-0.0011,-0.0016,0.00,,,,,,,,,
IMU,4935,,,,,,,,-0.0168,-0.0638,9.7474,0.0003,-0.0011,-0.0016,0.00,,,,,,,,,
IMU,4936,,,,,,,,-0.0168,-0.0638,9.7474,0.0003,-0.0011,-0.0016,0.00,,,,,,,,,
IMU,4937,,,,,,,,-0.0144,-0.0612,9.7498,-0.0003,-0.0008,-0.0013,0.00,,,,,,,,,
IMU,4938,,,,,,,,-0.0144,-0.0612,9.7498,-0.0003,-0.0008,-0.0013,0.00,,,,,,,,,
IMU,4939,,,,,,,,-0.0099,-0.0597,9.7510,0.0000,-0.0008,-0.0013,0.00,,,,,,,,,
IMU,4940,,,,,,,,-0.0126,-0.0620,9.7524,-0.0003,-0.0008,-0.0011,0.00,,,,,,,,,
IMU,4942,,,,,,,,-0.0126,-0.0620,9.7524,-0.0003,-0.0008,-0.0011,0.00,,,,,,,,,
IMU,4943,,,,,,,,-0.0126,-0.0620,9.7524,-0.0003,-0.0008,-0.0011,0.00,,,,,,,,,
IMU,4944,,,,,,,,-0.0126,-0.0620,9.7524,-0.0003,-0.0008,-0.0011,0.00,,,,,,,,,
IMU,4945,,,,,,,,-0.0126,-0.0620,9.7524,-0.0003,-0.0008,-0.0011,0.00,,,,,,,,,
IMU,4946,,,,,,,,-0.0136,-0.0582,9.7495,-0.0005,-0.0008,-0.0013,0.00,,,,,,,,,
IMU,4947,,,,,,,,-0.0150,-0.0630,9.7498,-0.0003,-0.0011,-0.0016,0.00,,,,,,,,,
IMU,4949,,,,,,,,-0.0150,-0.0630,9.7498,-0.0003,-0.0011,-0.0016,0.00,,,,,,,,,
IMU,4950,,,,,,,,-0.0130,-0.0590,9.7492,-0.0005,-0.0013,-0.0016,0.00,,,,,,,,,
IMU,4951,,,,,,,,-0.0127,-0.0579,9.7512,-0.0005,-0.0013,-0.0016,0.00,,,,,,,,,
IMU,4952,,,,,,,,-0.0127,-0.0579,9.7512,-0.0005,-0.0013,-0.0016,0.00,,,,,,,,,
IMU,4953,,,,,,,,-0.0127,-0.0579,9.7512,-0.0005,-0.0013,-0.0016,0.00,,,,,,,,,
IMU,4954,,,,,,,,-0.0127,-0.0579,9.7512,-0.0005,-0.0013,-0.0016,0.00,,,,,,,,,
IMU,4956,,,,,,,,-0.0127,-0.0579,9.7512,-0.0005,-0.0013,-0.0016,0.00,,,,,,,,,
IMU,4957,,,,,,,,-0.0133,-0.0599,9.7515,-0.0003,-0.0016,-0.0013,0.00,,,,,,,,,
IMU,4958,,,,,,,,-0.0099,-0.0599,9.7501,-0.0003,-0.0016,-0.0011,0.00,,,,,,,,,
IMU,4968,,,,,,,,-0.0087,-0.0593,9.7482,-0.0008,-0.0016,-0.0008,0.00,,,,,,,,,
IMU,4978,,,,,,,,-0.0117,-0.0585,9.7486,-0.0008,-0.0011,-0.0013,0.00,,,,,,,,,
IMU,4988,,,,,,,,-0.0162,-0.0662,9.7510,0.0003,0.0000,-0.0003,0.00,,,,,,,,,
IMU,4998,,,,,,,,-0.0150,-0.0576,9.7555,0.0008,-0.0008,0.0000,0.00,,,,,,,,,
IMU,5008,,,,,,,,-0.0127,-0.0475,9.7525,0.0008,-0.0016,-0.0005,0.00,,,,,,,,,
IMU,5018,,,,,,,,-0.0123,-0.0540,9.7492,0.0000,-0.0011,-0.0011,0.00,,,,,,,,,
IMU,5028,,,,,,,,-0.0153,-0.0563,9.7501,0.0000,-0.0008,-0.0016,0.00,,,,,,,,,
IMU,5038,,,,,,,,-0.0094,-0.0584,9.7482,-0.0003,-0.0005,-0.0021,0.00,,,,,,,,,
